shape,shape_index,n,d,row_size_kib,paper_start_kib,paper_jump_kib,trial,spatial_mode,budget_index,row_budget_fraction,nominal_row_budget,effective_row_budget,paper_underfill_rows,track,method,method_label,repetition,runtime_ms
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_d2_mu4,"Fixed-R 2L (rho2, mu4)",16,0.972618
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_d2_mu4,"Fixed-R 2L (rho2, mu4)",17,0.974181
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_d2_mu4,"Fixed-R 2L (rho2, mu4)",18,0.969242
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_d2_mu4,"Fixed-R 2L (rho2, mu4)",19,0.967659
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_d2_mu4,"Fixed-R 2L (rho2, mu4)",20,0.970334
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_d2_mu4,"Fixed-R 2L (rho2, mu4)",21,0.95732
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_d2_mu4,"Fixed-R 2L (rho2, mu4)",22,0.984371
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_d2_mu4,"Fixed-R 2L (rho2, mu4)",23,0.975103
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_d2_mu4,"Fixed-R 2L (rho2, mu4)",24,0.97873
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_d2_mu4,"Fixed-R 2L (rho2, mu4)",25,0.975803
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_d2_mu4,"Fixed-R 2L (rho2, mu4)",26,0.970134
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_d2_mu4,"Fixed-R 2L (rho2, mu4)",27,0.9794
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_d2_mu4,"Fixed-R 2L (rho2, mu4)",28,0.971025
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,host,fixed_r_d2_mu4,"Fixed-R 2L (rho2, mu4)",29,0.960355
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,0,1.379659
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,1,0.42247
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,2,0.429803
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,3,0.408624
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,4,0.381303
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,5,0.383637
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,6,0.376454
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,7,0.385922
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,8,0.36889
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,9,0.378938
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,10,0.364661
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,11,0.365894
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,12,0.373288
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,13,0.354933
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,14,0.364722
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,15,0.547384
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,16,0.366535
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,17,0.366795
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,18,0.39636
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,19,0.411249
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,20,0.410657
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,21,0.377004
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,22,0.378638
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,23,0.361626
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,24,0.499103
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,25,0.359763
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,26,0.369671
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,27,0.372526
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,28,0.354382
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,paper,Paper,29,0.347429
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,top_r,Top-R,0,0.078988
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,top_r,Top-R,1,0.06939
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,top_r,Top-R,2,0.066875
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,top_r,Top-R,3,0.066304
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,top_r,Top-R,4,0.064981
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,top_r,Top-R,5,0.064861
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,top_r,Top-R,6,0.065252
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,896,0,cuda,top_r,Top-R,7,0.065803
