model,shape,family,target,predictor_margin,calibration_cases,calibration_grid_feasible_rate,unstructured_fraction_mean,minimum_structured_fraction_mean
smol360,960x320,raw,0.925,0.29166666666666663,18,1.0,0.8034722222222223,0.9388888888888888
smol360,960x320,raw,0.95,0.23229166666666667,18,1.0,0.8498842592592593,0.9499999999999998
smol360,960x320,raw,0.975,0.1489583333333333,18,0.0,0.9033564814814815,0.9499999999999998
smol360,960x960,bound,0.5,0.28645833333333337,18,1.0,0.22476851851851848,0.39722222222222225
smol360,960x960,bound,0.55,0.33125,18,1.0,0.2611689814814815,0.4555555555555555
smol360,960x960,bound,0.6,0.3447916666666667,18,1.0,0.29982638888888885,0.49444444444444446
smol360,960x960,bound,0.65,0.4177083333333334,18,1.0,0.3423611111111111,0.55
smol360,960x960,bound,0.7,0.453125,18,1.0,0.3916087962962963,0.6055555555555556
smol360,960x960,bound,0.75,0.48750000000000004,18,1.0,0.4478009259259259,0.6638888888888889
smol360,960x960,bound,0.8,0.4822916666666667,18,1.0,0.513599537037037,0.7111111111111111
smol360,960x960,bound,0.85,0.4604166666666667,18,1.0,0.5910300925925926,0.7722222222222223
smol360,960x960,bound,0.9,0.4572916666666667,18,1.0,0.6829282407407408,0.8416666666666667
smol360,960x960,bound,0.925,0.43020833333333336,18,1.0,0.7359375,0.8888888888888888
smol360,960x960,bound,0.95,0.3822916666666667,18,1.0,0.7960069444444444,0.922222222222222
smol360,960x960,bound,0.975,0.2947916666666667,18,0.3888888888888889,0.8682291666666667,0.9416666666666667
smol360,960x960,diag,0.5,0.2947916666666667,18,1.0,0.04780092592592589,0.22499999999999998
smol360,960x960,diag,0.55,0.34375,18,1.0,0.05839120370370368,0.25
smol360,960x960,diag,0.6,0.4416666666666667,18,1.0,0.07256944444444441,0.2972222222222222
smol360,960x960,diag,0.65,0.4364583333333334,18,1.0,0.09346064814814811,0.3472222222222222
smol360,960x960,diag,0.7,0.4333333333333334,18,1.0,0.12499999999999997,0.3944444444444445
smol360,960x960,diag,0.75,0.41041666666666676,18,1.0,0.17193287037037033,0.4361111111111111
smol360,960x960,diag,0.8,0.375,18,1.0,0.2331597222222222,0.49444444444444446
smol360,960x960,diag,0.85,0.3458333333333334,18,1.0,0.3053819444444444,0.5611111111111111
smol360,960x960,diag,0.9,0.4291666666666667,18,1.0,0.391724537037037,0.6388888888888888
smol360,960x960,diag,0.925,0.575,18,1.0,0.4415509259259259,0.7083333333333334
smol360,960x960,diag,0.95,0.571875,18,1.0,0.4989583333333333,0.7722222222222223
smol360,960x960,diag,0.975,0.6614583333333334,18,1.0,0.5686921296296297,0.8472222222222222
smol360,960x960,raw,0.5,0.3291666666666667,18,1.0,0.2425347222222222,0.41944444444444445
smol360,960x960,raw,0.55,0.3510416666666667,18,1.0,0.2906828703703704,0.46388888888888885
smol360,960x960,raw,0.6,0.35625,18,1.0,0.34322916666666664,0.5166666666666667
smol360,960x960,raw,0.65,0.3520833333333334,18,1.0,0.4000578703703704,0.5805555555555556
smol360,960x960,raw,0.7,0.3395833333333333,18,1.0,0.46076388888888886,0.6333333333333333
smol360,960x960,raw,0.75,0.3197916666666667,18,1.0,0.5259837962962962,0.6888888888888889
smol360,960x960,raw,0.8,0.29374999999999996,18,1.0,0.5960069444444445,0.7444444444444445
smol360,960x960,raw,0.85,0.25625,18,1.0,0.6720486111111111,0.8
