trial,target_cv,spatial_mode,budget_fraction,budget_rows,paper_importance,paper_rows,paper_chunks,paper_aff_ms,paper_runtime_ms,top_fixed_importance,top_fixed_rows,top_fixed_chunks,top_fixed_aff_ms,top_fixed_runtime_ms,top_fixed_importance_gain_pct
0,1.25,local,0.125,608,0.37304153219473857,606,9,0.24727937012868945,3.140788,0.4282928630731958,608,116,1.4248634967921179,0.022111,14.811040088054984
0,1.25,local,0.25,1216,0.5463216737356296,1212,16,0.4725569686290382,4.017336,0.6122808760210137,1216,162,2.07966498659231,0.022963,12.073327026249814
0,1.25,local,0.375,1824,0.6712076774155826,1824,22,0.688301714956812,5.990323,0.7364106156788286,1824,218,2.8444753345342053,0.026189,9.714271820355712
0,1.25,local,0.5,2432,0.7615395320077053,2430,26,0.8805766560146495,7.077494,0.8277548547318665,2432,247,3.312261765493501,0.026059,8.694929145646935
0,1.25,local,0.625,3040,0.8458931237087839,3036,32,1.094853368700828,11.055776,0.896680676349814,3040,250,3.4940251652843664,0.030296,6.004015308500699
0,1.25,local,0.75,3648,0.9051704492206256,3648,36,1.2885963434002612,9.733426,0.9469573822671213,3648,226,3.3787646480926323,0.028253,4.616471194179539
0,1.25,local,0.875,4256,0.9532468649876825,4254,40,1.4808712844580987,12.25106,0.981720872601427,4256,136,2.5374456671656533,0.02649,2.9870549444830807
0,1.25,hot-cold,0.125,608,0.31003308380710365,606,5,0.20327582687200796,2.774224,0.42829286307319586,608,397,4.516112410573993,0.025268,38.144245063752955
0,1.25,hot-cold,0.25,1216,0.5158757421786919,1212,8,0.38454988211567515,4.094641,0.6122808760210137,1216,601,6.909053859013103,0.033202,18.687665645059237
0,1.25,hot-cold,0.375,1824,0.6585586996795922,1824,13,0.5892937426292787,5.054644,0.7364106156788286,1824,623,7.299834089273206,0.032801,11.821560634931028
0,1.25,hot-cold,0.5,2432,0.766490848470496,2430,15,0.7595669120587755,6.455362,0.8277548547318665,2432,632,7.547602803949094,0.031689,7.992790309710873
0,1.25,hot-cold,0.625,3040,0.8519669061722623,3036,20,0.9628427389307835,9.101245,0.8966806763498141,3040,625,7.619357345598257,0.034234,5.2482989484231135
0,1.25,hot-cold,0.75,3648,0.9094330030982107,3648,23,1.1455848278160463,10.572494,0.9469573822671213,3648,569,7.15206848235307,0.033312,4.126129032163384
0,1.25,hot-cold,0.875,4256,0.9508258232611521,4254,27,1.3378597688738838,12.318727,0.981720872601427,4256,405,5.496683951177483,0.032601,3.2492858927948287
0,1.44,random,0.125,608,0.17626396396279714,606,6,0.21427671268617832,2.726525,0.4672459618256792,608,524,5.91322490897363,0.027812,165.0830897711444
0,1.44,random,0.25,1216,0.3353826733443377,1212,13,0.439554311186527,3.856065,0.6510504738532958,1216,893,10.121312516750853,0.036147,94.12167818963675
0,1.44,random,0.375,1824,0.4777104452291608,1824,20,0.6662999433284713,4.872364,0.7708278302083899,1824,1140,12.98729205519929,0.05322,61.35879755332099
0,1.44,random,0.5,2432,0.6029591941853825,2430,25,0.8695757702004792,6.62062,0.8548271874208532,2432,1208,13.88411303291123,0.044093,41.77197987265997
0,1.44,random,0.625,3040,0.716311134239338,3036,29,1.0618507112583169,9.115181,0.9149319006494927,3040,1166,13.570836571064428,0.046026,27.728281317457547
0,1.44,random,0.75,3648,0.8279275340781702,3648,35,1.2775954575860908,9.372953,0.9576058589417532,3648,928,11.101386489640234,0.059691,15.663004251690849
0,1.44,random,0.875,4256,0.9234115565879955,4254,38,1.458869512829758,12.933726,0.9856950851708979,4256,546,7.047808850975506,0.038011,6.744937091001968
0,1.44,local,0.125,608,0.3779014195393258,606,9,0.24727937012868945,3.365519,0.4672459618256792,608,117,1.4358643826062882,0.023814,23.6422880854132
0,1.44,local,0.25,1216,0.5694591357152812,1212,18,0.4945587402573789,4.649037,0.6510504738532958,1216,179,2.266680045433206,0.039483,14.327865341124113
0,1.44,local,0.375,1824,0.7006592641595614,1824,25,0.7213043723993232,5.87079,0.7708278302083897,1824,232,2.9984877359325903,0.025868,10.014649008173082
0,1.44,local,0.5,2432,0.7987414133904358,2430,30,0.9245801992713311,9.098129,0.8548271874208534,2432,240,3.2352555647943078,0.028774,7.021768633774617
0,1.44,local,0.625,3040,0.8667302813491775,3036,35,1.127856026143339,9.769383,0.9149319006494927,3040,217,3.1309959334167443,0.029045,5.561317094550233
0,1.44,local,0.75,3648,0.9234102309288257,3648,38,1.310598115028602,10.998049,0.9576058589417532,3648,174,2.806718585755773,0.029816,3.7031892075238604
0,1.44,local,0.875,4256,0.9646167976281195,4254,41,1.491872170272269,12.731268,0.9856950851708979,4256,115,2.306427065068075,0.029816,2.185146225382706
0,1.44,hot-cold,0.125,608,0.34355493754952726,606,7,0.2252775985003487,3.094342,0.4672459618256792,608,391,4.450107095688971,0.026841,36.00327364188165
0,1.44,hot-cold,0.25,1216,0.5499316739864085,1212,11,0.4175525395581863,4.24954,0.6510504738532958,1216,549,6.337007796676244,0.028984,18.387520604857265
0,1.44,hot-cold,0.375,1824,0.6836935379280886,1824,15,0.6112955142576195,5.374712,0.7708278302083897,1824,634,7.420843833229081,0.032832,12.744641779759803
0,1.44,hot-cold,0.5,2432,0.7966249747241712,2430,17,0.7815686836871163,7.95332,0.8548271874208533,2432,681,8.086646208843444,0.034013,7.306099424868573
0,1.44,hot-cold,0.625,3040,0.8630973560969795,3036,22,0.9848445105591243,8.403792,0.9149319006494927,3040,678,8.202404293749286,0.035176,6.005642838128322
0,1.44,hot-cold,0.75,3648,0.9210439227303975,3648,23,1.1455848278160463,9.919885,0.9576058589417531,3648,601,7.504096828406522,0.033853,3.9696191798290315
0,1.44,hot-cold,0.875,4256,0.9614483257237358,4254,27,1.3378597688738838,11.346019,0.9856950851708979,4256,413,5.584691037690846,0.032411,2.521899388499138
0,2.48,random,0.125,608,0.2261032050414773,606,9,0.24727937012868945,4.076567,0.6113460178798547,608,535,6.034234652929505,0.055344,170.38361431794246
0,2.48,random,0.25,1216,0.38487999855853655,1212,16,0.4725569686290382,4.574838,0.7738743135306901,1216,911,10.31932846140592,0.046006,101.06898680862244
