trial,target_cv,spatial_mode,actual_cv,lag1_corr,first_half_mass,pareto_peak_states
13,2.48,random,2.4800000000000004,-0.026545264609041695,0.48375937678651604,192
13,2.48,local,2.48,0.6963322480572881,0.7595569223747203,219
13,2.48,hot-cold,2.48,0.11735192113791118,0.9092448030372873,207
13,3.3,random,3.3,-0.046429854741033394,0.510516711990077,140
13,3.3,local,3.3,0.5506285910430979,0.3845838342630731,137
13,3.3,hot-cold,3.3,0.1552858136619379,0.9352003737376047,183
13,4.55,random,4.550000000000001,-0.00810392263841376,0.6464141176223975,162
13,4.55,local,4.550000000000001,0.37990321733267063,0.7233860461382835,189
13,4.55,hot-cold,4.550000000000002,0.07060907154568022,0.9548083066784204,168
13,9.19,random,9.19,-0.011364554590386357,0.5141273294070041,40
13,9.19,local,9.19,0.09018111239201897,0.9330700822602049,32
13,9.19,hot-cold,9.189999999999998,-0.0009374200223726919,0.9994831269988004,32
14,1.07,random,1.07,-0.05610223764970326,0.5320747564222756,317
14,1.07,local,1.0699999999999998,0.5870846790339805,0.4290172134306605,262
14,1.07,hot-cold,1.07,0.23145183542799036,0.7325343651237697,321
14,1.25,random,1.2500000000000002,0.0015732663048244637,0.4435157076553291,277
14,1.25,local,1.2500000000000002,0.7734739593706474,0.7728918277342268,300
14,1.25,hot-cold,1.2500000000000002,0.2649515238731515,0.782496244221016,310
14,1.44,random,1.4399999999999997,-0.03481544217935458,0.5136208515850799,255
14,1.44,local,1.44,0.7172841757092734,0.8045480540612453,271
14,1.44,hot-cold,1.44,0.31026290802544676,0.832143370826117,285
14,2.48,random,2.4800000000000004,-0.0261282504570101,0.6236335261005456,222
14,2.48,local,2.480000000000001,0.4317999371751719,0.7695452873318079,241
14,2.48,hot-cold,2.4800000000000004,0.10027579083500855,0.8795346859367903,245
14,3.3,random,3.300000000000001,0.012777899248143293,0.5969537860573977,150
14,3.3,local,3.300000000000001,0.7778864897516383,0.8865035423452707,154
14,3.3,hot-cold,3.3,0.18789058048305357,0.8871402080656909,184
14,4.55,random,4.550000000000001,-0.03270159847344372,0.7173945205955713,119
14,4.55,local,4.550000000000002,0.6568336548675096,0.027597870486128943,96
14,4.55,hot-cold,4.55,0.04556238026195716,0.9277058117072796,156
14,9.19,random,9.19,0.04078885965911078,0.6479750402711001,55
14,9.19,local,9.190000000000001,0.22498213874394668,0.18098716645695814,44
14,9.19,hot-cold,9.190000000000001,0.007916908375749994,0.9967849077464256,57
15,1.07,random,1.0700000000000003,0.002604430906970418,0.5052649857278037,307
15,1.07,local,1.0700000000000003,0.7723874639930426,0.642948471776571,333
15,1.07,hot-cold,1.0700000000000003,0.5125234815455754,0.7608874477638217,327
15,1.25,random,1.2500000000000002,0.05766327960597078,0.5250004803390518,270
15,1.25,local,1.2500000000000002,0.8219122478808067,0.25590162506775194,244
15,1.25,hot-cold,1.2500000000000002,0.30849902108950455,0.7799113227391654,303
15,1.44,random,1.4400000000000004,0.02533478248300667,0.5626573753925782,275
15,1.44,local,1.4400000000000004,0.677705585412704,0.4354195364741174,277
15,1.44,hot-cold,1.4400000000000002,0.22091915067980655,0.8150918357440899,305
15,2.48,random,2.48,0.03457092257315003,0.4690271351776409,192
15,2.48,local,2.4799999999999995,0.6309184359351155,0.3853532794034881,201
15,2.48,hot-cold,2.4800000000000004,0.22875429657832194,0.9118419594929724,224
15,3.3,random,3.300000000000001,-0.011514222301613912,0.5851929000085851,209
15,3.3,local,3.3000000000000007,0.23240745639347296,0.8877351624043432,228
15,3.3,hot-cold,3.3000000000000003,0.09192871948759238,0.8849546709358814,239
