model,prompt,situation,method,method_label,budget_index,budget_fraction,logit_relative_l2_error,logit_cosine_error,dense_to_sparse_kl,top1_agreement,dense_nll,sparse_nll,nll_delta,projection_calls,selected_fraction_mean,fallback_calls
qwen05,test_short_korean,short,cell32,Cell-32,17,0.95,0.8611611127853394,0.40546703338623047,5.042800426483154,0.14814814925193787,4.304563045501709,7.706868648529053,3.4023056030273438,168,0.9498145475295383,0
qwen05,test_medium_code,medium,paper,Paper,0,0.1,1.480325698852539,1.1047624349594116,14.454904556274414,0.0,4.315040588378906,17.063739776611328,12.748699188232422,168,0.09144233351235231,0
qwen05,test_medium_code,medium,paper,Paper,1,0.15,2.111445903778076,0.7111266851425171,11.388808250427246,0.0,4.315040588378906,14.568140983581543,10.253100395202637,168,0.14696059344790546,0
qwen05,test_medium_code,medium,paper,Paper,2,0.2,2.012220621109009,0.7078125476837158,9.71590805053711,0.025641025975346565,4.315040588378906,13.133085250854492,8.818044662475586,168,0.1927698711063373,0
qwen05,test_medium_code,medium,paper,Paper,3,0.25,3.498079299926758,0.6711872816085815,17.0283145904541,0.06410256773233414,4.315040588378906,21.184804916381836,16.86976432800293,168,0.2498825187969925,0
qwen05,test_medium_code,medium,paper,Paper,4,0.3,2.20418381690979,0.6388721466064453,11.63318157196045,0.03846153989434242,4.315040588378906,15.393624305725098,11.078583717346191,168,0.29569179645542426,0
qwen05,test_medium_code,medium,paper,Paper,5,0.35,2.7034997940063477,0.6676856875419617,12.417623519897461,0.06410256773233414,4.315040588378906,16.265480041503906,11.950439453125,168,0.3413248523093448,0
qwen05,test_medium_code,medium,paper,Paper,6,0.4,1.8957570791244507,0.6511489748954773,12.398992538452148,0.05128205195069313,4.315040588378906,15.740638732910156,11.42559814453125,168,0.39701933404940926,0
qwen05,test_medium_code,medium,paper,Paper,7,0.45,1.562604308128357,0.6730101108551025,10.069581031799316,0.05128205195069313,4.315040588378906,13.414040565490723,9.098999977111816,168,0.4426523899033297,0
qwen05,test_medium_code,medium,paper,Paper,8,0.5,1.5973432064056396,0.687191903591156,12.16174030303955,0.05128205195069313,4.315040588378906,15.543710708618164,11.228670120239258,168,0.49994125939849626,0
