n,trial,spatial_mode,cv,method,control,importance_fraction,latency_ms,rows,chunks
256,1,local,3.3,supported,0.7999999999999999,0.8787440353456906,0.05693091659612527,175,1
256,1,local,3.3,supported,0.85,0.8787440353456906,0.05693091659612527,175,1
256,1,local,3.3,supported,0.9,0.9165846110463888,0.06376262658766031,196,1
256,1,local,3.3,supported,0.95,0.9883383832664553,0.07751793672496302,207,2
256,1,local,3.3,supported,0.99,0.9924300350560862,0.07905902590889163,213,2
256,1,local,3.3,paper,0.05,0.25667520361915586,0.013998464069407138,12,1
256,1,local,3.3,paper,0.1,0.40404769576095345,0.027996928138814277,24,2
256,1,local,3.3,paper,0.15,0.5137787752857551,0.04199539220822142,36,3
256,1,local,3.3,paper,0.2,0.576943298315309,0.04491323939347472,48,3
256,1,local,3.3,paper,0.25,0.6508561401120811,0.058911703462881854,60,4
256,1,local,3.3,paper,0.3,0.6909928549087206,0.07291016753228899,72,5
256,1,local,3.3,paper,0.35,0.7296334166205093,0.07728693831016895,90,5
256,1,local,3.3,paper,0.39999999999999997,0.7464535856322495,0.08020478549542226,102,5
256,1,local,3.3,paper,0.44999999999999996,0.7789188010404955,0.0942032495648294,114,6
256,1,local,3.3,paper,0.49999999999999994,0.8082407881791944,0.08604047986592886,126,5
256,1,local,3.3,paper,0.5499999999999999,0.8441449412509883,0.100038943935336,138,6
256,1,local,3.3,paper,0.6,0.8457739675513011,0.10295679112058931,150,6
256,1,local,3.3,paper,0.65,0.8614151227189942,0.10587463830584261,162,6
256,1,local,3.3,paper,0.7,0.8674873312518909,0.10879248549109591,174,6
256,1,local,3.3,paper,0.75,0.8802327322393755,0.10208863938482203,192,5
256,1,local,3.3,paper,0.7999999999999999,0.8853299982635328,0.10500648657007533,204,5
256,1,local,3.3,paper,0.85,0.8903412932931001,0.10792433375532864,216,5
256,1,local,3.3,paper,0.9,0.8924853208619042,0.12192279782473578,228,6
256,1,local,3.3,paper,0.95,0.8933357198592659,0.11376002812583524,240,5
256,1,hot-cold,3.3,supported,0.05,0.47436992083832674,0.015214233729929348,17,1
256,1,hot-cold,3.3,supported,0.1,0.47436992083832674,0.015214233729929348,17,1
256,1,hot-cold,3.3,supported,0.15,0.47436992083832674,0.015214233729929348,17,1
256,1,hot-cold,3.3,supported,0.2,0.47436992083832674,0.015214233729929348,17,1
256,1,hot-cold,3.3,supported,0.25,0.47436992083832674,0.015214233729929348,17,1
256,1,hot-cold,3.3,supported,0.3,0.47436992083832674,0.015214233729929348,17,1
256,1,hot-cold,3.3,supported,0.35,0.47436992083832674,0.015214233729929348,17,1
256,1,hot-cold,3.3,supported,0.39999999999999997,0.47436992083832674,0.015214233729929348,17,1
256,1,hot-cold,3.3,supported,0.44999999999999996,0.47436992083832674,0.015214233729929348,17,1
256,1,hot-cold,3.3,supported,0.49999999999999994,0.5617910910061735,0.018132080915182654,29,1
256,1,hot-cold,3.3,supported,0.5499999999999999,0.5617910910061735,0.018132080915182654,29,1
256,1,hot-cold,3.3,supported,0.6,0.7449228782219873,0.028344546063569214,71,1
256,1,hot-cold,3.3,supported,0.65,0.7449228782219873,0.028344546063569214,71,1
256,1,hot-cold,3.3,supported,0.7,0.7449228782219873,0.028344546063569214,71,1
256,1,hot-cold,3.3,supported,0.75,0.7567667612426648,0.02907400785988254,74,1
256,1,hot-cold,3.3,supported,0.7999999999999999,0.801524605506909,0.03199185504513584,86,1
256,1,hot-cold,3.3,supported,0.85,0.893697616229537,0.04001593480458243,119,1
256,1,hot-cold,3.3,supported,0.9,0.9108097211979572,0.04269062805773129,130,1
256,1,hot-cold,3.3,supported,0.95,0.960433575458901,0.05562963850249955,171,1
256,1,hot-cold,3.3,supported,0.99,0.9981014087771733,0.08002860275798182,246,1
256,1,hot-cold,3.3,paper,0.05,0.3888961867566282,0.013998464069407138,12,1
256,1,hot-cold,3.3,paper,0.1,0.5202385327218412,0.016916311254660442,24,1
256,1,hot-cold,3.3,paper,0.15,0.5872124906015664,0.03091477532406758,36,2
256,1,hot-cold,3.3,paper,0.2,0.6323746804380064,0.033832622509320884,48,2
256,1,hot-cold,3.3,paper,0.25,0.680631046087654,0.036750469694574184,60,2
256,1,hot-cold,3.3,paper,0.3,0.7318150832167818,0.03966831687982749,72,2
256,1,hot-cold,3.3,paper,0.35,0.7977726005966187,0.04404508765770745,90,2
256,1,hot-cold,3.3,paper,0.39999999999999997,0.8368137414937348,0.05804355172711459,102,3
256,1,hot-cold,3.3,paper,0.44999999999999996,0.8604678703777507,0.06096139891236789,114,3
256,1,hot-cold,3.3,paper,0.49999999999999994,0.8808118612777053,0.06387924609762119,126,3
256,1,hot-cold,3.3,paper,0.5499999999999999,0.8956863055494727,0.0667970932828745,138,3
256,1,hot-cold,3.3,paper,0.6,0.9110322504152708,0.08079555735228164,150,4
256,1,hot-cold,3.3,paper,0.65,0.9239890351498756,0.0726327876533811,162,3
256,1,hot-cold,3.3,paper,0.7,0.931875608750659,0.08663125172278824,174,4
256,1,hot-cold,3.3,paper,0.75,0.9415032460624264,0.0910080225006682,192,4
256,1,hot-cold,3.3,paper,0.7999999999999999,0.9444272242114102,0.09392586968592151,204,4
256,1,hot-cold,3.3,paper,0.85,0.9510936087401116,0.0968437168711748,216,4
256,1,hot-cold,3.3,paper,0.9,0.9575797555048674,0.09976156405642811,228,4
