scope,n,spatial_mode,target_cv,budget_fraction,cases,affine_latency_ratio_mean,affine_latency_ratio_median,affine_saving_pct_mean,lookup_latency_ratio_mean,lookup_saving_pct_mean,affine_strict_win_rate,lookup_strict_win_rate,paper_chunks_mean,refined_chunks_mean,refined_row_ratio_mean,post_runtime_ms_mean,total_runtime_ms_mean
N-ordering,14336,local,,,840,0.9565275504886614,0.9555606249367379,4.347244951133859,0.9932721612899792,0.6727838710020857,1.0,0.9702380952380952,152.18690476190477,115.50714285714285,0.994466939863743,3.7803650630952386,17.447943557142857
N-ordering,14336,random,,,840,0.8918750918429874,0.8813058147664455,10.812490815701269,0.9891018888147327,1.0898111185267265,0.9988095238095238,0.6666666666666666,331.2988095238095,173.50595238095238,1.0170212692591918,4.699852764285715,18.379057895238095
N-ordering,18944,hot-cold,,,840,0.8912657535589317,0.8908529416889512,10.873424644106844,0.9890515456919096,1.0948454308090365,1.0,0.9702380952380952,157.79166666666666,55.90833333333333,0.9994442553203714,5.122455183333333,24.762394970238095
N-ordering,18944,local,,,840,0.9628299702772828,0.9619904062314748,3.71700297227173,0.9908260191569509,0.9173980843049189,1.0,0.9976190476190476,183.41666666666666,146.80119047619047,0.9946972183439817,4.859136317857144,25.68225130595238
N-ordering,18944,random,,,840,0.9031343088912845,0.8961909108351734,9.686569110871545,0.9808353644751262,1.916463552487396,0.9964285714285714,0.7869047619047619,381.94880952380953,219.49404761904762,1.0095967599455324,5.85782900952381,26.179354772619046
N-CV,4864,,1.07,,420,0.8693109921112163,0.8554526070842302,13.068900788878366,0.982897554333313,1.7102445666686996,0.8952380952380953,0.6547619047619048,20.866666666666667,8.895238095238096,1.003797783810541,1.3718578666666665,8.018596378571427
N-CV,4864,,1.25,,420,0.8678833604235842,0.8547152526278874,13.21166395764158,0.9810382011165449,1.896179888345495,0.9023809523809524,0.7,21.38809523809524,9.152380952380952,1.0061855261828032,1.3981677976190479,8.24372400952381
N-CV,4864,,1.44,,420,0.8586581629514106,0.8462858589940428,14.13418370485893,0.9762107310605275,2.3789268939472588,0.9095238095238095,0.7142857142857143,22.607142857142858,9.395238095238096,1.0056332804470427,1.4187444142857144,8.518764540476191
N-CV,4864,,2.48,,420,0.8290113679233077,0.8144085680180294,17.098863207669236,0.9549777488067037,4.502225119329623,0.9285714285714286,0.8785714285714286,26.576190476190476,10.016666666666667,1.0072943089596489,1.4627235500000002,9.136225788095238
N-CV,4864,,3.3,,420,0.8140485837445252,0.8001165356976045,18.595141625547495,0.941015704516778,5.8984295483222065,0.9380952380952381,0.9214285714285714,28.545238095238094,10.235714285714286,1.0069766505668973,1.497325030952381,9.359485697619046
N-CV,4864,,4.55,,420,0.7990556688425212,0.7880844389776043,20.094433115747876,0.9269425936400122,7.3057406359987835,0.9738095238095238,0.95,29.94047619047619,10.290476190476191,1.00701041670481,1.5109337642857146,9.589776554761904
N-CV,8960,,1.07,,420,0.9020816656912507,0.9022934246262344,9.791833430874933,0.9978553702387398,0.21446297612602072,0.969047619047619,0.5571428571428572,50.5,25.488095238095237,1.0047877945821186,2.506145078571429,15.658867947619049
N-CV,8960,,1.25,,420,0.9000129841080038,0.9020675479374638,9.99870158919962,0.9963368969457566,0.3663103054243416,0.9547619047619048,0.5904761904761905,52.34047619047619,26.126190476190477,1.006560505749919,2.4850216809523804,15.980403338095238
N-CV,8960,,1.44,,420,0.8990358906543894,0.9039632320414461,10.096410934561066,0.9971326236418592,0.28673763581408884,0.9761904761904762,0.580952380952381,53.726190476190474,26.48095238095238,1.0093375445416262,2.5274338476190477,16.35835158809524
